Month,Years,Forward_Rate
1,0.08333333333333333,4.021889304190226
2,0.16666666666666666,3.9652101142495213
3,0.25,3.9085309243088435
4,0.3333333333333333,3.7724964493202533
5,0.4166666666666667,3.636461974331664
6,0.5,3.55710668928375
7,0.5833333333333334,3.477751404235864
8,0.6666666666666666,3.398396119187925
9,0.75,3.398396119187925
10,0.8333333333333334,3.313630487722532
11,0.9166666666666666,3.2288648562571645
12,1.0,3.144099224791773
13,1.0833333333333333,3.0593335933264334
14,1.1666666666666667,2.9745679618610392
15,1.25,2.974567961861066
16,1.3333333333333333,2.9745679618610676
17,1.4166666666666667,2.974567961861066
18,1.5,2.9745679618610392
19,1.5833333333333333,2.974567961861041
20,1.6666666666666667,2.9745679618610392
21,1.75,2.9745679618610126
22,1.8333333333333333,2.9885624123951855
23,1.9166666666666667,3.0025568629293864
24,2.0,3.016551313463558
25,2.0833333333333335,3.0305457639977043
26,2.1666666666666665,3.0445402145318785
27,2.25,3.044540214531905
28,2.3333333333333335,3.044540214531875
29,2.4166666666666665,3.0445402145318785
30,2.5,3.0445402145318785
31,2.5833333333333335,3.044540214531875
32,2.6666666666666665,3.044540214531852
33,2.75,3.0445402145318785
34,2.8333333333333335,3.084220384092497
35,2.9166666666666665,3.1239005536530957
36,3.0,3.1635807232137174
37,3.0833333333333335,3.203260892774336
38,3.1666666666666665,3.242941062334935
39,3.25,3.242941062334908
40,3.3333333333333335,3.2429410623349315
41,3.4166666666666665,3.242941062334935
42,3.5,3.242941062334935
43,3.5833333333333335,3.2429410623349315
44,3.6666666666666665,3.242941062334935
45,3.75,3.242941062334935
46,3.8333333333333335,3.2844587903224567
47,3.9166666666666665,3.325976518309974
48,4.0,3.367494246297499
49,4.083333333333333,3.4090119742850478
50,4.166666666666667,3.450529702272566
51,4.25,3.450529702272566
52,4.333333333333333,3.450529702272573
53,4.416666666666667,3.4505297022725925
54,4.5,3.4505297022726187
55,4.583333333333333,3.4505297022726262
56,4.666666666666667,3.4505297022726187
57,4.75,3.4505297022726187
58,4.833333333333333,3.566382407950962
59,4.916666666666667,3.682235113629288
60,5.0,3.7980878193076237
61,5.083333333333333,3.9139405249859935
62,5.166666666666667,4.029793230664347
63,5.25,4.02979323066432
64,5.333333333333333,4.029793230664329
65,5.416666666666667,4.02979323066432
66,5.5,4.029793230664294
67,5.583333333333333,4.0297932306643025
68,5.666666666666667,4.02979323066432
69,5.75,4.02979323066432
70,5.833333333333333,4.029793230664329
71,5.916666666666667,4.029793230664374
72,6.0,4.029793230664348
73,6.083333333333333,4.029793230664356
74,6.166666666666667,4.02979323066432
75,6.25,4.029793230664374
76,6.333333333333333,4.029793230664302
77,6.416666666666667,4.029793230664347
78,6.5,4.029793230664347
79,6.583333333333333,4.029793230664356
80,6.666666666666667,4.02979323066432
81,6.75,4.029793230664347
82,6.833333333333333,4.134704882994242
83,6.916666666666667,4.239616535324173
84,7.0,4.344528187654113
85,7.083333333333333,4.449439839984036
86,7.166666666666667,4.554351492313994
87,7.25,4.554351492313994
88,7.333333333333333,4.554351492314003
89,7.416666666666667,4.554351492313994
90,7.5,4.554351492313994
91,7.583333333333333,4.554351492314003
92,7.666666666666667,4.554351492314048
93,7.75,4.5543514923139945
94,7.833333333333333,4.554351492314048
95,7.916666666666667,4.554351492314057
96,8.0,4.554351492314048
97,8.083333333333334,4.554351492313994
98,8.166666666666666,4.554351492314031
99,8.25,4.554351492314003
100,8.333333333333334,4.554351492314038
101,8.416666666666666,4.554351492314003
102,8.5,4.554351492314003
103,8.583333333333334,4.554351492314038
104,8.666666666666666,4.554351492314057
105,8.75,4.554351492314031
106,8.833333333333334,4.554351492314064
107,8.916666666666666,4.554351492314057
108,9.0,4.554351492314057
109,9.083333333333334,4.554351492314011
110,9.166666666666666,4.554351492314031
111,9.25,4.554351492314031
112,9.333333333333334,4.554351492314038
113,9.416666666666666,4.554351492314031
114,9.5,4.554351492314057
115,9.583333333333334,4.554351492314038
116,9.666666666666666,4.554351492314031
117,9.75,4.554351492314057
118,9.833333333333334,4.668291493254713
119,9.916666666666666,4.782231494195435
120,10.0,4.896171495136137
121,10.083333333333334,5.010111496076872
122,10.166666666666666,5.124051497017569
123,10.25,5.124051497017596
124,10.333333333333334,5.1240514970175735
125,10.416666666666666,5.124051497017596
126,10.5,5.124051497017569
127,10.583333333333334,5.124051497017574
128,10.666666666666666,5.124051497017569
129,10.75,5.124051497017596
130,10.833333333333334,5.124051497017547
131,10.916666666666666,5.124051497017569
132,11.0,5.124051497017569
133,11.083333333333334,5.124051497017574
134,11.166666666666666,5.124051497017542
135,11.25,5.124051497017542
136,11.333333333333334,5.124051497017547
137,11.416666666666666,5.124051497017514
138,11.5,5.1240514970175415
139,11.583333333333334,5.124051497017519
140,11.666666666666666,5.1240514970175415
141,11.75,5.124051497017514
142,11.833333333333334,5.124051497017547
143,11.916666666666666,5.124051497017542
144,12.0,5.124051497017569
145,12.083333333333334,5.124051497017574
146,12.166666666666666,5.1240514970175965
147,12.25,5.124051497017623
148,12.333333333333334,5.124051497017574
149,12.416666666666666,5.1240514970175965
150,12.5,5.12405149701757
151,12.583333333333334,5.124051497017574
152,12.666666666666666,5.124051497017542
153,12.75,5.124051497017569
154,12.833333333333334,5.124051497017547
155,12.916666666666666,5.124051497017596
156,13.0,5.124051497017569
157,13.083333333333334,5.124051497017547
158,13.166666666666666,5.124051497017569
159,13.25,5.124051497017569
160,13.333333333333334,5.12405149701752
161,13.416666666666666,5.124051497017542
162,13.5,5.124051497017569
163,13.583333333333334,5.124051497017547
164,13.666666666666666,5.124051497017569
165,13.75,5.124051497017621
166,13.833333333333334,5.124051497017599
167,13.916666666666666,5.124051497017594
168,14.0,5.124051497017594
169,14.083333333333334,5.124051497017545
170,14.166666666666666,5.124051497017514
171,14.25,5.124051497017514
172,14.333333333333334,5.124051497017519
173,14.416666666666666,5.124051497017568
174,14.5,5.124051497017594
175,14.583333333333334,5.124051497017572
176,14.666666666666666,5.124051497017594
177,14.75,5.124051497017568
178,14.833333333333334,5.159873776399575
179,14.916666666666666,5.195696055781627
180,15.0,5.231518335163736
181,15.083333333333334,5.26734061454577
182,15.166666666666666,5.303162893927822
183,15.25,5.303162893927822
184,15.333333333333334,5.3031628939278
185,15.416666666666666,5.303162893927822
186,15.5,5.303162893927795
187,15.583333333333334,5.3031628939278
188,15.666666666666666,5.303162893927795
189,15.75,5.303162893927849
190,15.833333333333334,5.303162893927822
191,15.916666666666666,5.303162893927826
192,16.0,5.303162893927876
193,16.083333333333332,5.303162893927876
194,16.166666666666668,5.303162893927828
195,16.25,5.303162893927801
196,16.333333333333332,5.303162893927819
197,16.416666666666668,5.303162893927828
198,16.5,5.303162893927801
199,16.583333333333332,5.3031628939278725
200,16.666666666666668,5.303162893927881
201,16.75,5.303162893927881
202,16.833333333333332,5.303162893927874
203,16.916666666666668,5.303162893927908
204,17.0,5.303162893927856
205,17.083333333333332,5.303162893927874
206,17.166666666666668,5.303162893927856
207,17.25,5.303162893927802
208,17.333333333333332,5.303162893927793
209,17.416666666666668,5.303162893927828
210,17.5,5.303162893927802
211,17.583333333333332,5.303162893927847
212,17.666666666666668,5.303162893927856
213,17.75,5.303162893927908
214,17.833333333333332,5.3031628939278725
215,17.916666666666668,5.303162893927881
216,18.0,5.303162893927881
217,18.083333333333332,5.3031628939278725
218,18.166666666666668,5.303162893927801
219,18.25,5.303162893927854
220,18.333333333333332,5.303162893927847
221,18.416666666666668,5.303162893927828
222,18.5,5.303162893927854
223,18.583333333333332,5.3031628939279
224,18.666666666666668,5.303162893927854
225,18.75,5.303162893927828
226,18.833333333333332,5.3031628939278725
227,18.916666666666668,5.303162893927881
228,19.0,5.303162893927828
229,19.083333333333332,5.303162893927847
230,19.166666666666668,5.303162893927881
231,19.25,5.303162893927828
232,19.333333333333332,5.303162893927847
233,19.416666666666668,5.303162893927881
234,19.5,5.303162893927856
235,19.583333333333332,5.303162893927847
236,19.666666666666668,5.303162893927828
237,19.75,5.303162893927775
238,19.833333333333332,5.066640634545736
239,19.916666666666668,4.830118375163696
240,20.0,4.593596115781638
241,20.083333333333332,4.357073856399572
242,20.166666666666668,4.120551597017559
243,20.25,4.120551597017585
244,20.333333333333332,4.120551597017593
245,20.416666666666668,4.120551597017612
246,20.5,4.120551597017639
247,20.583333333333332,4.120551597017648
248,20.666666666666668,4.120551597017585
249,20.75,4.120551597017559
250,20.833333333333332,4.120551597017568
251,20.916666666666668,4.120551597017559
252,21.0,4.120551597017559
253,21.083333333333332,4.120551597017568
254,21.166666666666668,4.120551597017532
255,21.25,4.120551597017559
256,21.333333333333332,4.12055159701754
257,21.416666666666668,4.120551597017585
258,21.5,4.1205515970175055
259,21.583333333333332,4.120551597017594
260,21.666666666666668,4.120551597017586
261,21.75,4.120551597017586
262,21.833333333333332,4.120551597017541
263,21.916666666666668,4.120551597017586
264,22.0,4.120551597017612
265,22.083333333333332,4.120551597017568
266,22.166666666666668,4.120551597017586
267,22.25,4.120551597017586
268,22.333333333333332,4.120551597017648
269,22.416666666666668,4.120551597017559
270,22.5,4.120551597017585
271,22.583333333333332,4.120551597017593
272,22.666666666666668,4.120551597017585
273,22.75,4.120551597017559
274,22.833333333333332,4.120551597017568
275,22.916666666666668,4.1205515970175055
276,23.0,4.1205515970175055
277,23.083333333333332,4.120551597017541
278,23.166666666666668,4.120551597017533
279,23.25,4.120551597017533
280,23.333333333333332,4.120551597017622
281,23.416666666666668,4.120551597017587
282,23.5,4.120551597017533
283,23.583333333333332,4.120551597017542
284,23.666666666666668,4.12055159701756
285,23.75,4.120551597017506
286,23.833333333333332,4.120551597017542
287,23.916666666666668,4.12055159701756
288,24.0,4.12055159701756
289,24.083333333333332,4.120551597017514
290,24.166666666666668,4.12055159701756
291,24.25,4.12055159701756
292,24.333333333333332,4.120551597017542
293,24.416666666666668,4.12055159701756
294,24.5,4.120551597017613
295,24.583333333333332,4.120551597017568
296,24.666666666666668,4.120551597017613
297,24.75,4.120551597017587
298,24.833333333333332,4.121194436048594
299,24.916666666666668,4.121837275079638
300,25.0,4.122480114110718
301,25.083333333333332,4.123122953141698
302,25.166666666666668,4.123765792172743
303,25.25,4.123765792172743
304,25.333333333333332,4.123765792172672
305,25.416666666666668,4.123765792172664
306,25.5,4.123765792172664
307,25.583333333333332,4.123765792172725
308,25.666666666666668,4.123765792172717
309,25.75,4.123765792172771
310,25.833333333333332,4.123765792172725
311,25.916666666666668,4.123765792172717
312,26.0,4.123765792172717
313,26.083333333333332,4.123765792172725
314,26.166666666666668,4.123765792172744
315,26.25,4.123765792172717
316,26.333333333333332,4.123765792172753
317,26.416666666666668,4.12376579217269
318,26.5,4.12376579217269
319,26.583333333333332,4.123765792172699
320,26.666666666666668,4.123765792172716
321,26.75,4.12376579217269
322,26.833333333333332,4.123765792172699
323,26.916666666666668,4.123765792172716
324,27.0,4.123765792172716
325,27.083333333333332,4.123765792172724
326,27.166666666666668,4.123765792172743
327,27.25,4.123765792172743
328,27.333333333333332,4.123765792172724
329,27.416666666666668,4.12376579217269
330,27.5,4.123765792172664
331,27.583333333333332,4.123765792172725
332,27.666666666666668,4.123765792172717
333,27.75,4.123765792172717
334,27.833333333333332,4.123765792172699
335,27.916666666666668,4.123765792172771
336,28.0,4.123765792172744
337,28.083333333333332,4.123765792172725
338,28.166666666666668,4.123765792172744
339,28.25,4.123765792172744
340,28.333333333333332,4.123765792172725
341,28.416666666666668,4.12376579217269
342,28.5,4.123765792172716
343,28.583333333333332,4.123765792172753
344,28.666666666666668,4.123765792172771
345,28.75,4.123765792172717
346,28.833333333333332,4.123765792172725
347,28.916666666666668,4.123765792172691
348,29.0,4.123765792172691
349,29.083333333333332,4.123765792172672
350,29.166666666666668,4.123765792172744
351,29.25,4.123765792172717
352,29.333333333333332,4.123765792172753
353,29.416666666666668,4.12376579217269
354,29.5,4.123765792172664
355,29.583333333333332,4.123765792172699
356,29.666666666666668,4.12376579217269
357,29.75,4.12376579217269
358,29.833333333333332,4.123765792172699
359,29.916666666666668,4.123765792172724
360,30.0,4.1237657921726445
